epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,311.111,0.56559,0.72946,0.55532,0.88066,0,0.85804,0.85246,0.90804,0.71661,0.87439,0.89744,0.9258,0.76623,0.83821,1.23833,0.63227,1.08308,0,0.0016647,0.0016647,0.0016647
29,322.238,0.53592,0.6373,0.53085,0.88165,0,0.94625,0.76923,0.90112,0.70077,0.9419,0.76923,0.9077,0.75844,0.68791,1.06116,0.71825,0.94307,0,0.00164105,0.00164105,0.00164105
30,333.214,0.54026,0.70788,0.53445,0.89488,0,0.96367,0.84615,0.95468,0.68666,0.97849,0.85897,0.94396,0.8267,0.73867,1.04508,0.70401,0.96277,0,0.00161678,0.00161678,0.00161678
31,344.479,0.52376,0.64848,0.53295,0.87879,0,0.87431,0.79487,0.87762,0.66676,0.91351,0.82051,0.87905,0.75853,1.0574,1.93423,1.36693,1.25739,0,0.00159191,0.00159191,0.00159191
32,355.482,0.52868,0.67833,0.53272,0.88027,0,0.84409,0.83333,0.90951,0.69622,0.88083,0.85293,0.90821,0.77901,0.70022,1.33198,1.02861,0.90461,0,0.00156646,0.00156646,0.00156646
33,366.353,0.51261,0.60147,0.50001,0.86952,0,0.95314,0.88462,0.94903,0.70676,0.93917,0.87179,0.94685,0.78265,0.77307,1.00833,0.64604,0.95377,0,0.00154047,0.00154047,0.00154047
34,377.526,0.51898,0.67819,0.5158,0.8567,0,0.95766,0.87,0.938,0.71832,0.91473,0.82527,0.88936,0.75612,0.64359,1.25694,0.76464,0.92116,0,0.00151395,0.00151395,0.00151395
35,388.275,0.50378,0.65932,0.49969,0.86417,0,0.95018,0.83333,0.92773,0.67705,0.93556,0.82051,0.92903,0.76746,0.63811,1.36047,0.67988,0.95266,0,0.00148694,0.00148694,0.00148694
36,399.266,0.51535,0.62434,0.51133,0.87187,0,0.94396,0.89744,0.94657,0.71885,0.91788,0.87179,0.92455,0.79119,0.68938,1.35852,0.72098,0.94667,0,0.00145945,0.00145945,0.00145945
37,410.331,0.51559,0.65033,0.50795,0.86984,0,0.93129,0.88462,0.92201,0.71918,0.95854,0.91026,0.95203,0.82402,0.67673,0.86687,0.62275,0.94487,0,0.00143152,0.00143152,0.00143152
38,421.44,0.49055,0.59586,0.50204,0.86702,0,0.89707,0.80769,0.92014,0.71144,0.89707,0.80769,0.92619,0.8253,0.70952,0.8073,0.72774,0.94654,0,0.00140318,0.00140318,0.00140318
39,432.93,0.47904,0.59417,0.47839,0.86264,0,0.91671,0.88462,0.96017,0.74331,0.89013,0.85897,0.92738,0.81573,0.6942,0.95185,0.54068,0.8968,0,0.00137444,0.00137444,0.00137444
40,444.189,0.47964,0.67546,0.49024,0.86372,0,0.9853,0.85936,0.9673,0.8023,0.92431,0.85897,0.93321,0.78977,0.51679,1.16144,0.54119,0.87958,0,0.00134535,0.00134535,0.00134535
41,455.507,0.4781,0.55988,0.48264,0.86258,0,0.87991,0.93936,0.94561,0.75689,0.89854,0.82051,0.88596,0.78508,0.64729,1.46161,0.7733,0.90241,0,0.00131593,0.00131593,0.00131593
42,466.803,0.47986,0.58146,0.4881,0.86114,0,0.97847,0.87179,0.95004,0.74039,0.96637,0.85897,0.92515,0.83329,0.69312,1.40075,0.78759,0.9509,0,0.0012862,0.0012862,0.0012862
43,478.451,0.45589,0.54429,0.45552,0.8551,0,0.96319,0.91026,0.94659,0.76275,0.9309,0.89744,0.93098,0.82194,0.6721,1.08935,0.64602,0.92323,0,0.0012562,0.0012562,0.0012562
44,489.95,0.45719,0.56675,0.45204,0.85782,0,0.9255,0.85897,0.93798,0.72538,0.90766,0.91026,0.94628,0.87097,0.63862,0.86733,0.53172,0.88093,0,0.00122596,0.00122596,0.00122596
45,501.782,0.4637,0.55931,0.44641,0.86063,0,0.95698,0.8556,0.95003,0.75917,0.94545,0.8889,0.95718,0.80695,0.64569,0.99766,0.59647,0.8978,0,0.00119551,0.00119551,0.00119551
46,512.999,0.44415,0.56231,0.43981,0.84789,0,0.83933,0.88462,0.88498,0.70372,0.87622,0.92308,0.92006,0.7926,0.61884,0.929,0.78243,0.88973,0,0.00116487,0.00116487,0.00116487
47,524.632,0.45093,0.57175,0.44463,0.8568,0,0.96689,0.91026,0.94842,0.74482,0.94632,0.90407,0.949,0.84654,0.5731,0.92712,0.58669,0.87706,0,0.00113408,0.00113408,0.00113408
48,535.802,0.42826,0.56788,0.43461,0.84282,0,0.95423,0.89744,0.94076,0.75171,0.95423,0.89744,0.95207,0.86677,0.5839,1.13554,0.5853,0.86702,0,0.00110317,0.00110317,0.00110317
49,547.463,0.42203,0.55799,0.42942,0.84834,0,0.9414,0.91026,0.94861,0.76478,0.91434,0.88462,0.91559,0.81909,0.56117,1.05074,0.47712,0.84594,0,0.00107216,0.00107216,0.00107216
50,558.879,0.43072,0.527,0.43876,0.84812,0,0.9661,0.92308,0.96119,0.81166,0.95268,0.91026,0.95669,0.86799,0.49719,0.78842,0.474,0.84499,0,0.0010411,0.0010411,0.0010411
51,571.599,0.42689,0.51576,0.42774,0.84618,0,0.96006,0.92452,0.97514,0.79349,0.95422,0.89744,0.96436,0.86982,0.53344,1.02048,0.57234,0.8769,0,0.00101,0.00101,0.00101
52,584.474,0.40867,0.45933,0.41983,0.84422,0,0.98599,0.90247,0.95393,0.77303,0.98589,0.89609,0.94403,0.82804,0.54523,0.99967,0.56209,0.85873,0,0.000978903,0.000978903,0.000978903
53,596.239,0.397,0.5144,0.418,0.83381,0,0.99714,0.91026,0.97714,0.83158,0.9831,0.89744,0.96061,0.85799,0.48771,0.83769,0.43615,0.84709,0,0.000947837,0.000947837,0.000947837
54,607.235,0.41126,0.59591,0.41313,0.84451,0,0.97031,0.9359,0.96889,0.78614,0.94373,0.91026,0.92823,0.83012,0.54557,1.08906,0.49323,0.85211,0,0.000916833,0.000916833,0.000916833
55,618.441,0.4,0.52326,0.40552,0.83984,0,0.96918,0.92308,0.95637,0.73621,0.93236,0.88462,0.90635,0.81077,0.60225,1.18042,0.50659,0.86063,0,0.00088592,0.00088592,0.00088592
56,629.463,0.39549,0.53555,0.40412,0.84613,0,0.9927,0.91026,0.98282,0.80225,0.97946,0.89744,0.94739,0.85171,0.48737,0.86182,0.47484,0.83476,0,0.00085513,0.00085513,0.00085513
57,641.262,0.39123,0.5679,0.38995,0.84068,0,0.96744,0.85897,0.91418,0.77239,0.95738,0.86408,0.94056,0.83992,0.50125,0.92624,0.80513,0.84774,0,0.000824492,0.000824492,0.000824492
58,652.468,0.37206,0.5116,0.39182,0.83094,0,0.98957,0.87179,0.94298,0.80918,0.98957,0.87179,0.94894,0.85433,0.46617,0.82332,0.58226,0.83341,0,0.000794038,0.000794038,0.000794038
59,663.739,0.38496,0.53621,0.39512,0.83606,0,0.99509,0.91026,0.95672,0.79916,0.97145,0.8725,0.94634,0.85763,0.46923,1.02817,0.69168,0.84352,0,0.000763797,0.000763797,0.000763797
60,675.127,0.3745,0.55843,0.38562,0.83921,0,0.97245,0.90524,0.9608,0.79573,0.93118,0.86735,0.90965,0.82888,0.47686,0.92834,0.53921,0.84018,0,0.000733799,0.000733799,0.000733799
61,686.691,0.37716,0.55642,0.40134,0.8425,0,0.98585,0.89302,0.96305,0.81776,0.95721,0.92308,0.96246,0.85514,0.50222,0.89832,0.53463,0.8361,0,0.000704073,0.000704073,0.000704073
62,697.918,0.36375,0.47274,0.37538,0.82966,0,0.93673,0.89744,0.95497,0.82216,0.98547,0.86979,0.95394,0.86962,0.50042,0.716,0.45164,0.85044,0,0.000674649,0.000674649,0.000674649
63,709.727,0.35394,0.5033,0.37006,0.83222,0,0.93403,0.90755,0.95839,0.82605,0.91959,0.88462,0.94775,0.86868,0.46992,0.79351,0.43677,0.85299,0,0.000645557,0.000645557,0.000645557
64,721.198,0.35519,0.49083,0.37091,0.83263,0,0.93953,0.92308,0.96748,0.81068,0.91277,0.89744,0.93927,0.8434,0.49264,1.05533,0.47237,0.84889,0,0.000616824,0.000616824,0.000616824
